date;tranche_horaire;id_arret;nom_commune;id_ligne;sens;freq
2025-07-19;09:30:00;2813;Saint-Grégoire;1;Aller;2.35294
2024-11-22;14:00:00;2331;Bruz;59;Retour;2.35294
2024-09-06;10:00:00;2863;Saint-Grégoire;78;Aller;2.35294
2025-06-03;07:45:00;2307;Bruz;7;Retour;4.70588
2024-11-16;17:30:00;2944;Chartres-de-Bretagne;72;Retour;1.17647
2025-01-23;13:00:00;4671;Cintré;54;Retour;2.35294
2025-01-27;14:15:00;2914;Chartres-de-Bretagne;72;Retour;2.35294
2025-08-14;10:30:00;4704;Laillé;80;Retour;7.05882
2024-10-19;07:45:00;4002;Acigné;64;Aller;1.17647
2025-02-18;08:30:00;2131;Cesson-Sévigné;2;Aller;1.17647
2024-09-04;14:45:00;3853;Mordelles;55;Retour;2.35294
2025-05-19;13:30:00;3168;Pacé;77;Retour;4.70588
2025-01-17;07:45:00;4672;Cintré;154;Retour;10.58824
2025-07-16;07:45:00;2734;Noyal-Châtillon-sur-Seiche;61;Retour;3.52941
2025-08-30;11:30:00;65501;Non identifiée;9999;Indéterminé;9.41176
2024-10-25;17:30:00;2335;Bruz;59;Retour;4.70588
2025-04-02;11:15:00;2202;Saint-Jacques-de-la-Lande;13;Retour;7.05882
2024-09-20;11:30:00;3210;Orgères;74;Retour;2.35294
2025-01-18;21:15:00;5050;Cesson-Sévigné;1002;Indéterminé;14.44445
2024-12-09;17:00:00;65501;Non identifiée;9999;Indéterminé;156.47059
2024-10-15;20:45:00;2263;Saint-Jacques-de-la-Lande;6;Retour;1.17647
2025-03-28;16:00:00;3103;Pacé;52;Retour;2.35294
2025-01-20;09:45:00;2280;Saint-Jacques-de-la-Lande;6;Retour;1.17647
2025-03-29;12:30:00;3006;Chantepie;1;Retour;7.05882
2024-11-21;14:00:00;2809;Saint-Grégoire;1;Aller;12.94118
2025-07-24;15:30:00;3315;Thorigné-Fouillard;50;Aller;2.35294
2025-02-10;06:00:00;2546;Le Rheu;54;Retour;1.17647
2024-11-21;09:00:00;2211;Saint-Jacques-de-la-Lande;7;Aller;2.35294
2025-03-24;08:45:00;2159;Cesson-Sévigné;34;Aller;3.52941
2024-12-23;09:00:00;4502;Gévezé;68;Aller;4.70588
2024-10-21;14:45:00;2707;Noyal-Châtillon-sur-Seiche;61;Retour;1.17647
2025-02-22;16:00:00;3504;Montgermont;52;Aller;2.35294
2024-09-20;13:00:00;3856;Mordelles;55;Retour;1.17647
2025-06-26;10:30:00;5064;Saint-Jacques-de-la-Lande;1002;Indéterminé;54.44445
2024-10-17;19:30:00;2029;Cesson-Sévigné;6;Retour;2.35294
2025-02-24;14:30:00;3016;Chantepie;13;Aller;1.17647
2024-12-07;16:15:00;3506;Montgermont;52;Aller;3.52941
2025-04-06;20:15:00;2407;Betton;51;Aller;2.35294
2024-12-16;15:45:00;2051;Cesson-Sévigné;6;Retour;5.88235
2024-11-14;08:15:00;2914;Chartres-de-Bretagne;172;Retour;7.05882
